road,red_time,green_time,amber_time,red_amber_time
Road_Junction_0_0_Junction_0_1,15.0,15.0,3.0,3.0
Road_Junction_0_1_Junction_0_0,15.0,15.0,3.0,3.0
Road_Junction_0_1_Junction_0_2,15.0,15.0,3.0,3.0
Road_Junction_0_2_Junction_0_1,15.0,15.0,3.0,3.0
Road_Junction_1_0_Junction_1_1,15.0,15.0,3.0,3.0
Road_Junction_1_1_Junction_1_0,15.0,15.0,3.0,3.0
Road_Junction_1_1_Junction_1_2,15.0,15.0,3.0,3.0
Road_Junction_1_2_Junction_1_1,15.0,15.0,3.0,3.0
Road_Junction_2_0_Junction_2_1,15.0,15.0,3.0,3.0
Road_Junction_2_1_Junction_2_0,15.0,15.0,3.0,3.0
Road_Junction_2_1_Junction_2_2,15.0,15.0,3.0,3.0
Road_Junction_2_2_Junction_2_1,15.0,15.0,3.0,3.0
Road_Junction_0_0_Junction_1_0,15.0,15.0,3.0,3.0
Road_Junction_1_0_Junction_0_0,15.0,15.0,3.0,3.0
Road_Junction_0_1_Junction_1_1,15.0,15.0,3.0,3.0
Road_Junction_1_1_Junction_0_1,15.0,15.0,3.0,3.0
Road_Junction_0_2_Junction_1_2,15.0,15.0,3.0,3.0
Road_Junction_1_2_Junction_0_2,15.0,15.0,3.0,3.0
Road_Junction_1_0_Junction_2_0,15.0,15.0,3.0,3.0
Road_Junction_2_0_Junction_1_0,15.0,15.0,3.0,3.0
Road_Junction_1_1_Junction_2_1,15.0,15.0,3.0,3.0
Road_Junction_2_1_Junction_1_1,15.0,15.0,3.0,3.0
Road_Junction_1_2_Junction_2_2,15.0,15.0,3.0,3.0
Road_Junction_2_2_Junction_1_2,15.0,15.0,3.0,3.0
Road_ExtTop_Top_Junction_0_0,15,15,3,3
Road_Top_Junction_0_0_ExtTop_Rev,15,15,3,3
Road_ExtTop_Top_Junction_0_1,15,15,3,3
Road_Top_Junction_0_1_ExtTop_Rev,15,15,3,3
Road_ExtTop_Top_Junction_0_2,15,15,3,3
Road_Top_Junction_0_2_ExtTop_Rev,15,15,3,3
Road_Bottom_Junction_2_0_ExtBottom,15,15,3,3
Road_ExtBottom_Bottom_Junction_2_0_Rev,15,15,3,3
Road_Bottom_Junction_2_1_ExtBottom,15,15,3,3
Road_ExtBottom_Bottom_Junction_2_1_Rev,15,15,3,3
Road_Bottom_Junction_2_2_ExtBottom,15,15,3,3
Road_ExtBottom_Bottom_Junction_2_2_Rev,15,15,3,3
Road_ExtLeft_Left_Junction_0_0,15,15,3,3
Road_Left_Junction_0_0_ExtLeft_Rev,15,15,3,3
Road_ExtLeft_Left_Junction_1_0,15,15,3,3
Road_Left_Junction_1_0_ExtLeft_Rev,15,15,3,3
Road_ExtLeft_Left_Junction_2_0,15,15,3,3
Road_Left_Junction_2_0_ExtLeft_Rev,15,15,3,3
Road_Right_Junction_0_2_ExtRight,15,15,3,3
Road_ExtRight_Right_Junction_0_2_Rev,15,15,3,3
Road_Right_Junction_1_2_ExtRight,15,15,3,3
Road_ExtRight_Right_Junction_1_2_Rev,15,15,3,3
Road_Right_Junction_2_2_ExtRight,15,15,3,3
Road_ExtRight_Right_Junction_2_2_Rev,15,15,3,3
Connector_top_Junction_0_0,1,1,0.5,0.5
Connector_left_Junction_0_0,1,1,0.5,0.5
Connector_top_Junction_0_1,1,1,0.5,0.5
Connector_top_Junction_0_2,1,1,0.5,0.5
Connector_right_Junction_0_2,1,1,0.5,0.5
Connector_left_Junction_1_0,1,1,0.5,0.5
Connector_right_Junction_1_2,1,1,0.5,0.5
Connector_bottom_Junction_2_0,1,1,0.5,0.5
Connector_left_Junction_2_0,1,1,0.5,0.5
Connector_bottom_Junction_2_1,1,1,0.5,0.5
Connector_bottom_Junction_2_2,1,1,0.5,0.5
Connector_right_Junction_2_2,1,1,0.5,0.5
