road,red_time,green_time,amber_time,red_amber_time
Road_Junction_0_0_Junction_1_0,15.0,17.62,3.0,3.0
Road_Junction_0_0_Junction_0_1,15.0,17.04,3.0,3.0
Road_Junction_0_1_Junction_1_1,15.0,17.02,3.0,3.0
Road_Junction_0_1_Junction_0_0,15.0,17.13,3.0,3.0
Road_Junction_0_1_Junction_0_2,15.0,16.9,3.0,3.0
Road_Junction_0_2_Junction_1_2,15.0,17.01,3.0,3.0
Road_Junction_0_2_Junction_0_1,15.0,17.16,3.0,3.0
Road_Junction_1_0_Junction_0_0,15.0,16.27,3.0,3.0
Road_Junction_1_0_Junction_2_0,15.0,15.92,3.0,3.0
Road_Junction_1_0_Junction_1_1,15.0,16.12,3.0,3.0
Road_Junction_1_1_Junction_0_1,15.0,15.89,3.0,3.0
Road_Junction_1_1_Junction_2_1,15.0,15.72,3.0,3.0
Road_Junction_1_1_Junction_1_0,15.0,15.92,3.0,3.0
Road_Junction_1_1_Junction_1_2,15.0,15.82,3.0,3.0
Road_Junction_1_2_Junction_0_2,15.0,15.91,3.0,3.0
Road_Junction_1_2_Junction_2_2,15.0,16.16,3.0,3.0
Road_Junction_1_2_Junction_1_1,15.0,15.75,3.0,3.0
Road_Junction_2_0_Junction_1_0,15.0,15.37,3.0,3.0
Road_Junction_2_0_Junction_2_1,15.0,15.37,3.0,3.0
Road_Junction_2_1_Junction_1_1,15.0,15.34,3.0,3.0
Road_Junction_2_1_Junction_2_0,15.0,15.41,3.0,3.0
Road_Junction_2_1_Junction_2_2,15.0,15.39,3.0,3.0
Road_Junction_2_2_Junction_1_2,15.0,15.45,3.0,3.0
Road_Junction_2_2_Junction_2_1,15.0,15.56,3.0,3.0
Road_In_Junction_Junction_0_0_Junction_0_0,15.0,30.0,3.0,3.0
Road_In_Junction_Junction_0_1_Junction_0_1,15.0,30.0,3.0,3.0
Road_In_Junction_Junction_0_2_Junction_0_2,15.0,30.0,3.0,3.0
Road_Junction_2_0_Out_Junction_Junction_2_0,15.0,15.52,3.0,3.0
Road_Junction_2_1_Out_Junction_Junction_2_1,15.0,15.46,3.0,3.0
Road_Junction_2_2_Out_Junction_Junction_2_2,15.0,15.44,3.0,3.0
